"","logFC","logCPM","F","PValue","FDR"
"RibesNigrum.56632",-3.66182737803549,3.71309466447276,120.550183795133,7.78568728982854e-08,0.000652258116616865
"RibesNigrum.58743",-3.52235400233375,5.20830364471628,117.947445519656,9.05942789706935e-08,0.000652258116616865
"RibesNigrum.55823",-7.17243995705403,4.00695583806771,115.418688010721,1.04346982239345e-07,0.000652258116616865
"RibesNigrum.20813",-3.73324197277,5.29987970786831,111.369249593988,1.27966087334597e-07,0.000652258116616865
"RibesNigrum.11372",-3.20871574167913,8.87511864404072,104.222239814149,1.77665830766195e-07,0.000652258116616865
"RibesNigrum.16546",-4.34679086471934,8.02292318816021,103.296658522717,1.96249917657244e-07,0.000652258116616865
"RibesNigrum.20810",-3.5071102877318,4.88636699799902,102.18391927002,2.08654239246115e-07,0.000652258116616865
"RibesNigrum.8743",-5.30093132398906,4.40287108678829,136.867894266318,2.14816198921479e-07,0.000652258116616865
"RibesNigrum.22082",-2.66273343682227,3.79824937183715,99.1269218213867,2.36191003902604e-07,0.000652258116616865
"RibesNigrum.28252",-5.29231638231187,4.32944847406499,131.895241204777,2.57941782946982e-07,0.000652258116616865
"RibesNigrum.20811",-3.62277586230791,4.99837672472752,97.8641945393463,2.66248228788017e-07,0.000652258116616865
"RibesNigrum.8736",-5.21599037956002,4.25197438929307,130.318756996604,2.73712723276832e-07,0.000652258116616865
"RibesNigrum.20814",-4.54805382008935,4.22495265066629,97.2059137045472,2.76557007986771e-07,0.000652258116616865
"RibesNigrum.32619",-4.82871232707655,2.38276334943567,95.7465107563128,3.01106005044342e-07,0.000652258116616865
"RibesNigrum.29258",-2.86316780548788,3.72846790092174,94.6251596864059,3.07147351957462e-07,0.000652258116616865
"RibesNigrum.26169",-3.70853580448361,4.62716438026623,86.2712211711648,5.38867595613424e-07,0.00100971108180412
"RibesNigrum.32501",-3.76490660708579,2.08590360809422,83.5283295017436,6.17461179436414e-07,0.00107369783925814
"RibesNigrum.8735",-5.19274701815344,2.60332123845157,155.085376847344,7.89088163645647e-07,0.00125678071823842
"RibesNigrum.3579",-2.87523181207886,4.07380315839918,73.1877806359626,1.33055024840721e-06,0.00171181429431695
"RibesNigrum.38554",-2.63912863506754,3.39660070977093,72.0349300080018,1.39489073186099e-06,0.00171181429431695
"RibesNigrum.58114",-2.17705741072113,6.24580055672806,71.7907922453737,1.4209398227423e-06,0.00171181429431695
"RibesNigrum.7813",-4.64363718042636,2.63325961538603,92.071928786778,1.48519296078883e-06,0.00171181429431695
"RibesNigrum.47723",-2.55292831012424,4.57412430437076,70.983130584352,1.5305639045586e-06,0.00171181429431695
"RibesNigrum.33162",-4.04343752532757,3.76169281759882,90.7247670704966,1.59391072205696e-06,0.00171181429431695
"RibesNigrum.12734",-4.59943044759794,2.52421622563203,90.50910122703,1.61218147891971e-06,0.00171181429431695
"RibesNigrum.1384",-5.11094896840552,1.12615568773807,69.5404716095339,1.75518982733951e-06,0.00171193860761517
"RibesNigrum.13029",-3.85272764872686,4.115272168822,68.4198923412094,1.91589519372037e-06,0.00179496839708143
"RibesNigrum.49307",-2.25386684234841,4.56654151607607,66.6806771211617,2.12031791921765e-06,0.00192973162853598
"RibesNigrum.55820",-6.65986428236161,2.75968709092596,65.7975828110208,2.36339382006307e-06,0.00199498417165594
"RibesNigrum.54478",-3.90952533321818,3.84688060703747,65.712118349223,2.37990200674721e-06,0.00199498417165594
"RibesNigrum.9954",-4.81363693884495,3.56820869836522,118.144709765984,2.56774967598742e-06,0.00206786804832306
"RibesNigrum.40700",-4.81012491773186,3.56471600574119,117.817154139153,2.59668242396315e-06,0.00206786804832306
"RibesNigrum.26510",-2.91831189886289,2.45573353299134,62.6743944580733,2.95675077836676e-06,0.00221692848172429
"RibesNigrum.56389",-2.12262815898993,5.53735226688221,62.3235241940166,3.04671464688801e-06,0.00221692848172429
"RibesNigrum.52979",-3.52076861744692,4.20973542973263,62.6312724927672,3.07488546259802e-06,0.00221692848172429
"RibesNigrum.29433",-3.30530720359171,1.78062640270913,61.9071771087261,3.15760995460598e-06,0.00221692848172429
"RibesNigrum.25258",-1.84684612075813,4.47921406332171,61.7472626901396,3.20144126826513e-06,0.00221692848172429
"RibesNigrum.2854",-3.67393804674821,4.4788130183091,61.5476558605172,3.37340837479431e-06,0.00228630958235528
"RibesNigrum.51656",-2.60971762330255,6.16274377409528,60.9930817639581,3.53911510961605e-06,0.00229964597056276
"RibesNigrum.17598",-1.98891544106648,5.22536642243559,60.437229113744,3.58830985528234e-06,0.00229964597056276
"RibesNigrum.43618",-3.63637089056382,3.69793429567617,76.3766475349773,3.60966592980907e-06,0.00229964597056276
"RibesNigrum.13989",-1.98534937646305,5.22513053338426,60.0868519639939,3.70078518546742e-06,0.00231146688819371
"RibesNigrum.55154",-3.64296063651638,3.69714795097029,75.6503983256387,3.77554501181518e-06,0.00231281174627617
"RibesNigrum.29730",-3.34155270720965,3.26311527706014,58.6318137992297,4.35902301650249e-06,0.00254770333998574
"RibesNigrum.48582",-2.38944371216669,3.85902654578101,58.2237873589002,4.41784729789179e-06,0.00254770333998574
"RibesNigrum.45986",-5.01000583324678,1.71562348204686,71.8653294637806,4.80226468750957e-06,0.00260491710070252
"RibesNigrum.3639",-4.55501548600236,1.59550160769227,57.4982636411751,4.82971254482769e-06,0.00260491710070252
"RibesNigrum.47553",-3.40875362350699,3.38805965261644,56.9010333425334,5.10128195231006e-06,0.00260491710070252
"RibesNigrum.51648",-2.64627665937079,6.07318425099259,56.8628988052561,5.11921513532869e-06,0.00260491710070252
"RibesNigrum.17712",-4.73463857969399,1.10857893324874,56.2868899348478,5.39917975167135e-06,0.00260491710070252
"RibesNigrum.37939",-3.52042190035473,3.46266443124034,56.1289023294982,5.47904331471931e-06,0.00260491710070252
"RibesNigrum.60374",-3.9594107360081,2.90987014096428,55.6122615831783,5.74993399839432e-06,0.00265854473191041
"RibesNigrum.53388",-2.65584022492627,5.05873764114289,55.5959033247239,5.75876142719339e-06,0.00265854473191041
"RibesNigrum.23350",-4.12433402893584,3.38875350498862,55.2204214557728,5.96576755992145e-06,0.00271476514076768
"RibesNigrum.12421",-6.12994089198076,1.40095544311824,94.7396499108081,6.21956206935897e-06,0.00275977675234569
"RibesNigrum.38566",-5.69821572767531,2.43628985262017,94.6693017017025,6.23795837787686e-06,0.00275977675234569
"RibesNigrum.60012",-2.24534654999165,3.22509174117093,53.9857480061017,6.49897783104348e-06,0.00280059326313336
"RibesNigrum.15230",-4.27688464030341,0.835849352966463,53.5976942113018,6.96560972615281e-06,0.00284106696702041
