"","logFC","logCPM","F","PValue","FDR"
"RibesNigrum.27888",5.16277564897016,3.86205657370662,89.4788941483666,4.39816984532578e-07,0.000875620639081296
"RibesNigrum.17390",2.92593929160231,3.14667462118757,82.980928040707,6.40430054181726e-07,0.00107369783925814
"RibesNigrum.59238",3.76549364012263,2.71109497216333,74.2516695474903,1.23003663767486e-06,0.00171181429431695
"RibesNigrum.8558",2.96843941280593,3.60302175791637,71.5003146938968,1.5101788104188e-06,0.00171181429431695
"RibesNigrum.54472",2.22463646187684,4.28179621214031,70.4510597512931,1.57432616676844e-06,0.00171181429431695
"RibesNigrum.11411",3.00305858459326,6.87450153620211,69.4972746023738,1.76108779136647e-06,0.00171193860761517
"RibesNigrum.42196",4.17103258789524,2.59639326057971,88.7223503443487,1.77352841248511e-06,0.00171193860761517
"RibesNigrum.34927",2.11695002232481,5.15677418073235,65.8391656907729,2.27044569520113e-06,0.00199498417165594
"RibesNigrum.18180",3.36742674830393,2.7195926113672,63.3585263026963,2.89168665884703e-06,0.00221692848172429
"RibesNigrum.35866",2.07870604871443,4.30363573607231,58.8147003554425,4.14494446251364e-06,0.00249118982846999
"RibesNigrum.45758",2.34897783431877,5.45068026007218,58.1736026855576,4.47891589876315e-06,0.00254770333998574
"RibesNigrum.6826",5.84301757274651,4.44104659881095,57.4367163474265,4.85691073796025e-06,0.00260491710070252
"RibesNigrum.45502",4.15454997863208,1.72595130811061,57.0398520304915,5.03661311929862e-06,0.00260491710070252
"RibesNigrum.19764",1.88309556586216,6.04678120575275,55.9704086033056,5.38118574175617e-06,0.00260491710070252
"RibesNigrum.9031",3.65962008573547,6.42924331501474,56.2575226845344,5.41392240900063e-06,0.00260491710070252
"RibesNigrum.31700",3.22372106085208,6.99385708229681,56.2164307377203,5.43462937809281e-06,0.00260491710070252
"RibesNigrum.47508",4.01893952222107,0.534775635893559,53.9744729670695,6.50605580058607e-06,0.00280059326313336
"RibesNigrum.13676",2.50278458787409,3.26497074181096,53.5274980238135,6.86666320684343e-06,0.00284106696702041
"RibesNigrum.59229",3.46280509136263,2.80395031493866,52.6753548344815,7.62009796517565e-06,0.00284106696702041
"RibesNigrum.46518",2.73253201391172,3.67468557599823,52.6167042984805,7.66407183318012e-06,0.00284106696702041
"RibesNigrum.49500",2.69620093280652,3.62047400858952,52.2619859445526,7.93638212349377e-06,0.00284106696702041
"RibesNigrum.56917",2.73174789197385,3.36353571960267,51.209821495161,8.81254269237974e-06,0.00289087367184622
"RibesNigrum.20335",2.04637514896441,6.59065664484413,50.8152423795318,8.89387894270513e-06,0.00289087367184622
"RibesNigrum.42198",5.23168335080892,4.35837454465709,50.9703574101055,9.02731485929763e-06,0.00290460694472795
"RibesNigrum.47026",2.6941209788145,3.25662606866423,49.773761274165,1.0195840617026e-05,0.00315617884721648
"RibesNigrum.23273",1.88771458964599,3.39122233632062,48.9641474154402,1.07617821000619e-05,0.00315617884721648
"RibesNigrum.57647",2.94054148271953,7.3745617625386,49.1873697122497,1.08319887202425e-05,0.00315617884721648
"RibesNigrum.21759",2.7473610355034,2.76092540051072,48.7136136293602,1.13797059540355e-05,0.00315617884721648
"RibesNigrum.27207",2.05186695404777,6.53307233997474,47.6800880425603,1.2372250549855e-05,0.00332448165956027
"RibesNigrum.58791",3.41082696810237,3.8078878216504,47.9126524835248,1.2380468006304e-05,0.00332448165956027
"RibesNigrum.54893",2.27672239147186,4.02439131834607,47.829538064447,1.24900421842172e-05,0.00332448165956027
"RibesNigrum.49283",2.35326667741138,3.80283509504865,47.8039918402681,1.2523946730308e-05,0.00332448165956027
"RibesNigrum.35623",1.56948120067776,4.16779401424465,46.6706611897769,1.37422369016713e-05,0.00353020334085352
"RibesNigrum.57545",1.56769924106183,4.16798432162645,46.556833046259,1.39134734329115e-05,0.0035455982618557
"RibesNigrum.57911",3.27881541001332,6.52426425243207,45.8696541874456,1.54310585002337e-05,0.00378108413435727
"RibesNigrum.22659",3.07174777898078,2.35355448799348,45.3067197468717,1.6419299161909e-05,0.00389929932562154
"RibesNigrum.4793",4.35991206244326,1.34953385279528,45.2485345474417,1.65255669290798e-05,0.00389929932562154
"RibesNigrum.38564",2.40533101940995,4.14501916978689,44.3136002495572,1.83474251121504e-05,0.00417456342516028
"RibesNigrum.49285",2.39868853968095,3.74094570398424,43.9104851596572,1.92041151837966e-05,0.00433141318846226
"RibesNigrum.59496",4.23645717243384,1.08466820695647,43.8626851107041,1.93087421599058e-05,0.00433141318846226
"RibesNigrum.17964",8.49906503405936,0.468508586683313,43.2484413536062,2.07138011070904e-05,0.00452544387433833
"RibesNigrum.5177",3.06172694458105,3.68652155854131,42.8265571629262,2.17476284056159e-05,0.00459791119998389
"RibesNigrum.40022",3.20439114368155,2.32469919425974,42.7166764461486,2.20266312489475e-05,0.00459791119998389
"RibesNigrum.29780",6.73874757237869,-1.48327577651076,51.2014342645818,2.2077732005054e-05,0.00459791119998389
"RibesNigrum.5782",2.22490686142912,9.09818700227246,42.4102150358116,2.22288668549482e-05,0.00459791119998389
"RibesNigrum.46516",2.60349281728439,4.16733176259716,42.067796898276,2.37614164749794e-05,0.00485189846406406
"RibesNigrum.29103",2.12985074484003,5.85929949381745,41.3353830178579,2.59131136113265e-05,0.00515897700609496
"RibesNigrum.6370",1.67430985761744,3.4875247529342,41.005485294471,2.62679139054814e-05,0.0051971312394112
